OrderID,SKU,Description,InvoiceDate,Quantity,Country,CustomerID
C570867,23290,SPACEBOY CHILDRENS BOWL,2011-10-12,-8,USA,12607.0
C570867,23289,DOLLY GIRL CHILDRENS BOWL,2011-10-12,-8,USA,12607.0
C570867,23256,CHILDRENS CUTLERY SPACEBOY,2011-10-12,-4,USA,12607.0
C570867,23255,CHILDRENS CUTLERY CIRCUS PARADE,2011-10-12,-4,USA,12607.0
C570867,23254,CHILDRENS CUTLERY DOLLY GIRL,2011-10-12,-4,USA,12607.0
C570867,23229,VINTAGE DONKEY TAIL GAME,2011-10-12,-6,USA,12607.0
C570867,23167,SMALL CERAMIC TOP STORAGE JAR,2011-10-12,-12,USA,12607.0
C570867,23166,MEDIUM CERAMIC TOP STORAGE JAR,2011-10-12,-12,USA,12607.0
C570867,23165,LARGE CERAMIC TOP STORAGE JAR,2011-10-12,-12,USA,12607.0
C570867,23159,SET OF 5 PANCAKE DAY MAGNETS,2011-10-12,-12,USA,12607.0
C570867,23156,SET OF 5 MINI GROCERY MAGNETS,2011-10-12,-12,USA,12607.0
C570867,23078,ICE CREAM PEN LIP GLOSS,2011-10-12,-24,USA,12607.0
C570867,23077,DOUGHNUT LIP GLOSS,2011-10-12,-20,USA,12607.0
C570867,23014,GLASS APOTHECARY BOTTLE ELIXIR,2011-10-12,-4,USA,12607.0
C570867,22989,SET 2 PANTRY DESIGN TEA TOWELS,2011-10-12,-6,USA,12607.0
C570867,22983,CARD BILLBOARD FONT,2011-10-12,-12,USA,12607.0
C570867,22974,CHILDRENS DOLLY GIRL MUG,2011-10-12,-12,USA,12607.0
C570867,22972,CHILDREN'S SPACEBOY MUG,2011-10-12,-12,USA,12607.0
C570867,22959,WRAP CHRISTMAS VILLAGE,2011-10-12,-25,USA,12607.0
C570867,22951,60 CAKE CASES DOLLY GIRL DESIGN,2011-10-12,-24,USA,12607.0
C570867,22949,36 DOILIES DOLLY GIRL,2011-10-12,-12,USA,12607.0
C570867,22938,CUPCAKE LACE PAPER SET 6,2011-10-12,-12,USA,12607.0
C570867,22922,FRIDGE MAGNETS US DINER ASSORTED,2011-10-12,-12,USA,12607.0
C570867,22818,CARD CHRISTMAS VILLAGE,2011-10-12,-12,USA,12607.0
C570867,22739,RIBBON REEL CHRISTMAS SOCK BAUBLE,2011-10-12,-10,USA,12607.0
C570867,22738,RIBBON REEL SNOWY VILLAGE,2011-10-12,-10,USA,12607.0
C570867,22737,RIBBON REEL CHRISTMAS PRESENT,2011-10-12,-10,USA,12607.0
C570867,22736,RIBBON REEL MAKING SNOWMEN,2011-10-12,-10,USA,12607.0
C570867,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,2011-10-12,-6,USA,12607.0
C570867,22720,SET OF 3 CAKE TINS PANTRY DESIGN,2011-10-12,-3,USA,12607.0
C570867,22712,CARD DOLLY GIRL,2011-10-12,-12,USA,12607.0
C570867,22708,WRAP DOLLY GIRL,2011-10-12,-25,USA,12607.0
C570867,22706,WRAP COWBOYS,2011-10-12,-25,USA,12607.0
C570867,22668,PINK BABY BUNTING,2011-10-12,-5,USA,12607.0
C570867,22649,STRAWBERRY FAIRY CAKE TEAPOT,2011-10-12,-8,USA,12607.0
C570867,22619,SET OF 6 SOLDIER SKITTLES,2011-10-12,-4,USA,12607.0
C570867,22551,PLASTERS IN TIN SPACEBOY,2011-10-12,-12,USA,12607.0
C570867,22492,MINI PAINT SET VINTAGE,2011-10-12,-36,USA,12607.0
C570867,22449,SILK PURSE BABUSHKA PINK,2011-10-12,-6,USA,12607.0
C570867,22417,PACK OF 60 SPACEBOY CAKE CASES,2011-10-12,-24,USA,12607.0
C570867,22399,MAGNETS PACK OF 4 CHILDHOOD MEMORY,2011-10-12,-12,USA,12607.0
C570867,22360,GLASS JAR ENGLISH CONFECTIONERY,2011-10-12,-6,USA,12607.0
C570867,22326,ROUND SNACK BOXES SET OF4 WOODLAND,2011-10-12,-6,USA,12607.0
C570867,22204,MILK PAN BLUE POLKADOT,2011-10-12,-4,USA,12607.0
C570867,22199,FRYING PAN RED RETROSPOT,2011-10-12,-4,USA,12607.0
C570867,22139,RETROSPOT TEA SET CERAMIC 11 PC,2011-10-12,-3,USA,12607.0
C570867,22138,BAKING SET 9 PIECE RETROSPOT,2011-10-12,-3,USA,12607.0
C570867,22090,PAPER BUNTING RETROSPOT,2011-10-12,-6,USA,12607.0
